x,y,image,r,g,b,clear
1,0,0,0,0,0,0
192,192,28,64,160,224,0
224,192,28,64,160,224,0
256,192,29,64,160,224,0
288,224,29,64,160,224,0
320,256,30,64,160,224,0
320,288,30,64,160,224,0
320,320,29,64,160,224,0
352,352,29,64,160,224,0
384,384,29,64,160,224,0
416,416,28,64,160,224,0
448,416,28,64,160,224,0
480,416,27,64,160,224,0
512,384,27,64,160,224,0
544,352,26,64,160,224,0
544,320,25,64,160,224,0
512,288,25,64,160,224,0
480,256,26,64,160,224,0
480,224,27,64,160,224,0
512,192,27,64,160,224,0
544,160,28,64,160,224,0
576,160,28,64,160,224,0
608,160,28,64,160,224,0
640,160,28,64,160,224,0
672,160,28,64,160,224,0
704,160,28,64,160,224,0
192,160,0,192,96,64,0
224,160,0,192,96,64,0
256,160,0,192,96,64,0
288,192,0,192,96,64,0
320,224,0,192,96,64,0
352,256,0,192,96,64,0
352,288,0,192,96,64,0
352,320,0,192,96,64,0
384,320,0,96,224,64,0
384,352,0,192,96,64,0
416,352,0,96,224,64,0
416,384,0,192,96,64,0
448,384,0,192,96,64,0
480,384,0,192,96,64,0
480,352,0,96,224,64,0
512,352,0,192,96,64,0
512,320,0,192,96,64,0
480,320,0,96,224,64,0
480,288,0,192,96,64,0
448,288,0,96,224,64,0
448,256,0,192,96,64,0
448,224,0,192,96,64,0
448,192,0,96,224,64,0
480,192,0,192,96,64,0
512,160,0,192,96,64,0
544,128,0,192,96,64,0
576,128,0,192,96,64,0
608,128,0,192,96,64,0
640,128,0,192,96,64,0
672,128,0,192,96,64,0
704,128,0,192,96,64,0
704,192,0,192,96,64,0
672,192,0,192,96,64,0
640,192,0,192,96,64,0
608,192,0,192,96,64,0
576,192,0,192,96,64,0
544,192,0,192,96,64,0
544,224,0,96,224,64,0
512,224,0,192,96,64,0
512,256,0,192,96,64,0
544,288,0,192,96,64,0
576,288,0,96,224,64,0
576,320,0,192,96,64,0
576,352,0,192,96,64,0
576,384,0,96,224,64,0
544,384,0,192,96,64,0
512,416,0,192,96,64,0
480,448,0,192,96,64,0
448,448,0,192,96,64,0
416,448,0,192,96,64,0
384,448,0,96,224,64,0
384,416,0,192,96,64,0
352,416,0,96,224,64,0
352,384,0,192,96,64,0
320,384,0,96,224,64,0
320,352,0,192,96,64,0
288,320,0,96,224,64,0
288,288,0,192,96,64,0
288,256,0,192,96,64,0
256,256,0,96,224,64,0
256,224,0,192,96,64,0
224,224,0,192,96,64,0
192,224,0,192,96,64,0
192,96,0,96,224,64,0
224,96,0,96,224,64,0
256,96,0,96,224,64,0
288,96,0,96,224,64,0
320,96,0,96,224,64,0
352,96,0,96,224,64,0
384,96,0,96,224,64,0
416,96,0,96,224,64,0
448,96,0,96,224,64,0
480,96,0,96,224,64,0
512,96,0,96,224,64,0
544,96,0,96,224,64,0
576,96,0,96,224,64,0
608,96,0,96,224,64,0
640,96,0,96,224,64,0
672,96,0,96,224,64,0
704,96,0,96,224,64,0
704,224,0,96,224,64,0
704,256,0,96,224,64,0
704,288,0,96,224,64,0
704,320,0,96,224,64,0
704,352,0,96,224,64,0
704,384,0,96,224,64,0
704,416,0,96,224,64,0
704,448,0,96,224,64,0
704,480,0,96,224,64,0
672,480,0,96,224,64,0
608,480,0,96,224,64,0
576,480,0,96,224,64,0
544,480,0,96,224,64,0
512,480,0,96,224,64,0
480,480,0,96,224,64,0
448,480,0,96,224,64,0
416,480,0,96,224,64,0
384,480,0,96,224,64,0
640,480,0,96,224,64,0
352,480,0,96,224,64,0
320,480,0,96,224,64,0
224,480,0,96,224,64,0
192,480,0,96,224,64,0
288,480,0,96,224,64,0
256,480,0,96,224,64,0
224,448,0,96,224,64,0
192,448,0,96,224,64,0
192,416,0,96,224,64,0
192,384,0,96,224,64,0
192,352,0,96,224,64,0
192,320,0,96,224,64,0
192,288,0,96,224,64,0
192,256,0,96,224,64,0
224,128,0,96,224,64,0
192,128,0,96,224,64,0
256,128,0,96,224,64,0
288,128,0,96,224,64,0
320,128,0,96,224,64,0
352,128,0,96,224,64,0
384,128,0,96,224,64,0
416,128,0,96,224,64,0
